What programme are you in?;Have you taken a course on machine learning?;Have you taken a course on information retrieval?;Have you taken a course on statistics?;Have you taken a course on databases?;What is your gender?;Chocolate makes you.....;When is your birthday (date)?;Number of neighbors sitting around you?;Did you stand up?;What is your stress level (0-100)?;You can get 100 euros if you win a local DM competition, or we don’t hold any competitions and I give everyone some money (not the same amount!). How much do you think you would deserve then? ;Give a random number;Time you went to be Yesterday;What makes a good day for you (1)?;What makes a good day for you (2)?
MSc Bioinformatics;yes;0;sigma;ja;male;fat;19-09-1997;0;no;25;100;68,9;00:00;meeting and eating with friends;going to see a good movie
Business Analytics Master;yes;1;mu;ja;female;neither;17-03-1997;0;no;30;1;7;12:15;a little bit of sunshine;being with friends or family
Masters in Business Analytics;yes;0;mu;nee;female;neither;28th February;None;unknown;50;50;13;1:00 AM;If I get to go to work;If I exercise and eat well
Artificial Intelligence;yes;1;mu;ja;male;fat;01-06-1992;0;no;75;100;8;00:30;Cake;Games
Econometrics & Operations Research;yes;unknown;mu;ja;male;neither;17-03-1991;0;yes;60;100;28;22;sports;friends
Information Science (UvA);yes;1;mu;ja;female;neither;04-01-1996;1;unknown;75;10;7;23:30;validation of job;had some exercise
CS;no;0;mu;ja;male;neither;1997.10.12;0;no;60;70;12;11:50;Delicious food;Interesting entertainment
Bioinformatics and Systems Biology;yes;unknown;unknown;nee;female;neither;28/2/1995;0;no;70;Less than 100;2;1:30 am;A productive day;Seeing a lot of people
MSc Computational Science;no;0;mu;nee;female;fat;05-02-1997;0;no;20;10;3;00:00;Laughing with friends;Doing stuff I like
MSc AI (UvA);yes;1;unknown;nee;female;neither;25-06-1995;0;no;70;0;7;to bed? 22.00;nice food;sun 
computer science big data engineering;yes;0;mu;ja;female;I have no idea what you are talking about;11,3;0;no;80;100;7;8;work out;work done
Bioinformatics;no;0;sigma;nee;male;neither;18/06/1997;0;no;40;2;43;0013;Rest;Sports
CPS;no;1;unknown;ja;male;fat;1996-09-02;0;no;10;1;5;00:45;Productivity;Sports
AI;no;0;mu;nee;female;fat;28-04-1996;0;no;50;10;9;02:15;When the weather outside is nice;Spending time with someone I enjoy being around
Msc Artificial Intelligence;no;1;mu;nee;female;slim;05-11-1996;1;no;50;10 euros;73;03:00;When I had a good night's sleep;When I had a nice, tasty breakfast
Bioinformatics;yes;0;mu;nee;male;fat;1-4-2020;0;no;50;100;1E-36;21:11;FIFA11;FIFA12
Business Analytics;yes;1;mu;ja;male;slim;25-03-1995;0;no;40;1;25;16;Nice coffee;More nice coffee
Business Analytics;yes;1;mu;ja;female;neither;28-04;0;no;40;10;7;23:30;Sun;Happiness 
Finance & Technology Master;yes;0;mu;nee;male;fat;12-04-1999;2;no;30;100;12;3;Good Sleep;Good food
MSc Econometrics;yes;0;mu;nee;male;fat;27-06-1996;0;no;40;20;6;2:00;Productive;Making love!
Master Forensic Science;no;unknown;sigma;nee;female;fat;19 december 1993;3;no;60;30;19;23,42;Chocolate;good weather
AI in Utrecht;yes;0;mu;nee;male;fat;18-08-1997;0;no;100;20;8;24;not having to fill in questionnaires;beer
CS:Parallel Computing Systems;yes;0;sigma;ja;male;fat;10-02-1996;0;no;50;1;728;0300;I can sleep in;There are snacks in the house
BA;yes;1;mu;ja;male;fat;04/03/1994;1;no;70;8;10;01:30;morning coffee;good breakfast
Business Analytics Master;yes;0;mu;ja;female;neither;21-08-1994;0;no;40;50;5;22:00;Music;Friends
Business Analytics;yes;1;mu;ja;male;fat;17-09-1997;0;no;0;100;9;2am;Alcohol;Love
Artificial Intelligence;no;0;mu;nee;female;I have no idea what you are talking about;25.09.1995;0;no;40;5;20;12pm;meeting friends;nice food
Information Sciences;yes;1;mu;ja;male;fat;16-09-1997;0;no;0;25;7;00:30;No stress;Good sleep
Masters Bioinformatics and System Biology;yes;0;mu;nee;male;fat;08/07/1993;0;no;75;0;3587;8;feel relax and motivated;keeping the relations I should keep
AI;no;1;mu;ja;female;slim;31-05-1997;1;no;25;5;9;23:00;Chocolate;Playing games with friends
AI;yes;1;mu;ja;male;fat;13-02-1997;0;no;20;Not at all, you should win it;3;23:15;Making progress on something;Seeing friends
Computer science;no;1;mu;ja;female;neither;19/02;0;no;75;100;5;19:00;Sun;Stay outside
Fintech;yes;0;mu;nee;male;fat;6-12;0;no;35;1/500;9;00:30;Breakfast;Good sleep
Erasmus;yes;1;mu;ja;unknown;neither;13.02.1992;2;no;69;100;420;que?;Sun;Sport
AI;yes;0;mu;nee;male;fat;01-03-1995;3;no;1;12;12;00:30;Reading a book in the sun;Listening to music
AI;yes;1;mu;ja;female;fat;august 9 ;2;no;20;5;8;00:00;friend;sun
Computer Science;no;0;mu;ja;male;fat;27/10/1994;0;no;70;5;27;NA;tasty food, indulging in things I enjoy, good progress on work and being healthy;tasty food, indulging in things I enjoy, good progress on work and being healthy
Msc Artificial Intelligence;yes;1;mu;ja;female;fat;18-11-1993;6;no;86;5;42;23:00;Friends;Pie
CS;no;0;mu;ja;male;fat;27/10/1994;0;no;72;5;9;2345;Delicious Food;Reading
Computational Science;no;0;mu;nee;male;neither;13/05/1996;1;no;10;0;29474721,43;11pm;Sunny;Accomplished something
MSc Econometrics;no;0;mu;nee;male;fat;20/12/1996;0;no;100;0;4;00;study;study
Master Business Administration: Digital Business and Innovation;yes;0;mu;ja;male;fat;16-02;0;no;60;5;9;00:00;Productivity;Good Workout
computer science;yes;1;mu;ja;female;neither;0216;0;no;10;0%  100%;4;4am;new thoughts;nature
AI;no;0;mu;nee;female;fat;-;1;no;-;-;7;0:00;-;-
QRM;no;0;sigma;nee;female;fat;0719;0;no;80;20;7;30;nice weather ;exercise 
Econometrics and Operations Research ;yes;0;mu;nee;female;fat;1992.02.11;4;no;60;50;7;13:00;a good shopping;a good sleep
Business Analytics;yes;0;sigma;ja;male;fat;15-04-1998;0;no;30;1;8;11pm;Food;TV
MSc AI (cognitive science track);no;0;mu;unknown;female;neither;06/08/1992;how  can I know this, I live in an 8 floor building.;no;10;30;6;1,3;accomplishment;making someone else happy
Computational Science;yes;0;mu;ja;male;fat;23-10-1995;5;no;30;60;7;2;Sunshine;Friends
Computer Science;no;1;mu;nee;female;fat;16 may;right now 0;yes;90;50;15;dont know;super good indian or italian food;stressing less over course
Mechenaical Engineering;yes;1;mu;nee;male;fat;17-09-1993;2;no;69;5;6;1:00;no corona;no corona 2
CS;no;0;mu;ja;male;fat;28/10;0;no;10;100;7;21:45;Netflix;Chill
Artificial Intelligence;yes;1;mu;ja;male;neither;26-07-1994;12;yes;60;75;42;13:37;Finishing all tasks;Finding an extra package of ice cream
Artificial Intelligence;no;0;mu;nee;female;neither;3/4/1998;1;no;70;2;69;00:00;Food;Orgasm
Artificial Intelligence;yes;1;sigma;nee;male;fat;10-11-1995;0;no;30;10;-1;8;Chocolate;Being slim
